source_ref,name,store_type,address,city,state,zip,lat,lng,interstate,exit_number,parking_spaces,overnight_parking,showers,cat_scale
610,Love's Travel Stop #610,Travel Stop,1333 US Highway 283 N,Baird,TX,79504,32.402493,-99.384692,I-20,307,70,true,true,true
822,Love's Travel Stop #822,Travel Stop,1025 S Crawford St,Clarksville,AR,72830,35.460073,-93.480111,I-40,57/S Crawford St,114,true,true,true
231,Love's Travel Stop #231,Travel Stop,1501 Corsicana Hwy,Hillsboro,TX,76645,32.00952,-97.093528,I-35,368A,53,true,true,true
473,Love's Travel Stop #473,Travel Stop,451 Leary Road,Leary,TX,75501,33.463426,-94.204244,I-30,213,98,true,true,true
200,Love's Travel Stop #200,Travel Stop,6930 I-40 E.,Amarillo,TX,79120,35.191927,-101.760945,I-40,74/Whitaker Rd,111,true,true,true
261,Love's Travel Stop #261,Travel Stop,8615 Canyon Dr,Amarillo,TX,79110,35.117693,-101.907173,I-27,115 NB/116 SB,12,true,false,false
984,Love's Travel Stop #984,Travel Stop,2851 W TX-86,Tulia,TX,79088,34.528492,-101.792691,I-27,74/Hwy-86,59,true,true,true
673,Love's Travel Stop #673,Travel Stop,22406 US Highway 59 N,Domino,TX,75572,33.261778,-94.152214,,,101,true,true,true
732,Love's Travel Stop #732,Travel Stop,2322 Fair Rd,Abilene,KS,67410,38.933422,-97.258115,I-70,272/Fair Rd,74,true,true,true
638,Love's Travel Stop #638,Travel Stop,1430 Hwy 54 E,Texhoma,OK,73949,36.506305,-101.774669,,,39,true,true,true
626,Love's Travel Stop #626,Travel Stop,720 N Dumas Ave,Dumas,TX,79029,35.879547,-101.973996,,,45,true,true,true
815,Love's Travel Stop #815,Travel Stop,12577 CR 3101,Winona,TX,75792,32.443228,-95.061947,I-20,575/Barber Rd,113,true,true,true
250,Love's Travel Stop #250,Travel Stop,14701 I-40 W.,Amarillo,TX,79124,35.187837,-102.011289,I-40,60,100,true,true,true
93,Love's Travel Stop #93,Travel Stop,3285 E US Highway 50,Garden City,KS,67846,37.960711,-100.833489,,,30,true,true,false
258,Love's Travel Stop #258,Travel Stop,203 E 27th St,Ottawa,KS,66067,38.572786,-95.265489,I-35,183,78,true,true,true
475,Love's Travel Stop #475,Travel Stop,9418 North Interstate 20,Sweetwater,TX,79556,32.450422,-100.441752,I-20,242,105,true,true,true
656,Love's Travel Stop #656,Travel Stop,1500 N Jones Ave,Holcomb,KS,67851,38.000876,-100.996727,,,50,true,true,true
277,Love's Travel Stop #277,Travel Stop,116 Ron Harrod Rd,Prescott,AR,71857,33.828782,-93.394759,I-30,46,119,true,true,true
884,Love's Travel Stop #884,Travel Stop,2005 Hwy 19 North,Prescott,AR,71857,33.827533,-93.393831,I-30,46/AR Hwy-19,88,true,true,true
288,Love's Travel Stop #288,Travel Stop,299 I-45,Fairfield,TX,75840,31.728217,-96.182736,I-45,198,28,true,true,false
455,Love's Travel Stop #455,Travel Stop,200 Washington Street,Ellis,KS,67637,38.947691,-99.560096,I-70,145,49,true,true,false
589,Love's Travel Stop #589,Travel Stop,4221 North Interstate 27,Lubbock,TX,79403,33.641593,-101.839031,I-27,8,69,true,true,true
