listing_id,business_name,city,state,interstate,lat,lng,severity,findings,miles_outside_state,miles_outside_corridor
cef1fa71-2479-4bb1-acda-36bd95b418b5,"Performance Truck Tire, Inc.",Naples,FL,I-75,,,no-coordinates,no-coordinates,,
8bf6630b-8c97-45c5-b219-f6b2e21d760a,Petro / TA Florence (TravelCenters of America #195),Florence,SC,I-95,,,no-coordinates,no-coordinates,,
25721d01-d3ed-4da5-a9cc-448fd166e75b,Petro Dodge City (Petro Stopping Center #397),Hanceville,AL,I-65,,,no-coordinates,no-coordinates,,
8578017a-7ea0-4c38-a6ed-abf7b5a39d0f,Petro Gary #369 (Grant Street),Gary,IN,I-65,,,no-coordinates,no-coordinates,,
0a0c7a0d-2fb0-4201-a93f-b934e2617b5b,Petro Kenly 95 #395,Kenly,NC,I-95,,,no-coordinates,no-coordinates,,
5e829807-6932-4f13-b44f-e5dea115f755,Petro Knoxville,Knoxville,TN,I-75,,,no-coordinates,no-coordinates,,
20ea502e-9d1f-43e3-b369-520d35c38c5f,Petro Stopping Center #311 (Petro West Memphis),West Memphis,AR,I-40,,,no-coordinates,no-coordinates,,
904bda8d-b42d-49ce-88d2-5b2fd4ca4191,Petro Stopping Center #323 (Ocala / Reddick),Reddick,FL,I-75,,,no-coordinates,no-coordinates,,
bb4d283f-1f08-4acd-a062-850f5bc309c6,Petro Stopping Center #325,North Baltimore,OH,I-75,,,no-coordinates,no-coordinates,,
03c39975-0f38-4f41-97e7-d50d95b9edf0,Petro Stopping Center #326 (Petro N. Little Rock),North Little Rock,AR,I-40,,,no-coordinates,no-coordinates,,
36d48fe4-d2ce-4d99-987a-9e8341644b7a,Petro Stopping Center #344 (TA/Petro Kingsland),Kingsland,GA,I-95,,,no-coordinates,no-coordinates,,
bd27e9bc-6b14-4810-b20d-26a04702c477,Petro Stopping Center #382,Remington,IN,I-65,,,no-coordinates,no-coordinates,,
8018aa5b-c428-465d-9809-fde4e03cd4a2,Petro Stopping Center Kingston Springs #349,Kingston Springs,TN,I-40,,,no-coordinates,no-coordinates,,
25069c9b-3d38-41b7-bb33-37f20bf3a4f1,Phil's Towing & Automotive (Grayling),Grayling,MI,I-75,,,no-coordinates,no-coordinates,,
58632d08-df92-4a46-8c2a-b89a3a0e138a,Piedmont Truck Tires Inc. (McCarthy Tire Service),Conover,NC,I-40,,,no-coordinates,no-coordinates,,
ca4da6a3-c18d-4f65-88ec-1076319eb6c5,Pilot / ONE9 Travel Center #88,Cocoa,FL,I-95,,,no-coordinates,no-coordinates,,
f0783c4c-568f-4ed0-8ee8-baec2257dab1,Pilot Flying J Truck Care - Woodhaven,Woodhaven,MI,I-75,,,no-coordinates,no-coordinates,,
ad3e43c4-ef04-43df-b994-d7c9fb475388,Pilot Flying J Truck Care Service Center - Waynesville,Waynesville,NC,I-40,,,no-coordinates,no-coordinates,,
3f7408df-a39e-46cd-843a-61694fabbe9c,Pilot Travel Center - Sadler's Emporia,Emporia,VA,I-95,,,no-coordinates,no-coordinates,,
438d7ce9-59d8-4fec-b8d5-24f36c3a5481,Pilot Travel Center (Sadler Travel Plaza),Dunn,NC,I-95,,,no-coordinates,no-coordinates,,
b8bff6ef-fb37-4415-9966-9e0ef40bbb4d,Pilot Travel Center #1047,Jacksonville,FL,I-95,,,no-coordinates,no-coordinates,,
49310225-476e-403f-bc11-b296444ee454,Pilot Travel Center #1063,Marion,NC,I-40,,,no-coordinates,no-coordinates,,
4f77aa49-f11e-4ebd-a86e-9c6290ec1ec1,Pilot Travel Center #114,Crossville,TN,I-40,,,no-coordinates,no-coordinates,,
1c18704d-99b4-4644-865c-b0d740b9ccd5,Pilot Travel Center #149 (Flagship),Stanton,TN,I-40,,,no-coordinates,no-coordinates,,
63726042-4b3b-41c2-a7e8-267af4a9285b,Pilot Travel Center #15,Toledo,OH,I-75,,,no-coordinates,no-coordinates,,
d7247403-1ed3-49de-83a5-af2862cdbd9f,Pilot Travel Center #1550 (Good Hope),Good Hope,AL,I-65,,,no-coordinates,no-coordinates,,
e1c84a38-7da4-4597-ab5e-331b2e755297,Pilot Travel Center #187,Knoxville,TN,I-75,,,no-coordinates,no-coordinates,,
b3c074e4-06a3-4cb4-b205-6ad5ddae3476,Pilot Travel Center #219,Knoxville,TN,I-40,,,no-coordinates,no-coordinates,,
b7a1bf29-998f-498a-a44a-0974411802b6,Pilot Travel Center #231,Corbin,KY,I-75,,,no-coordinates,no-coordinates,,
a458560a-f2f2-4149-b476-a63e7a260094,Pilot Travel Center #24,(I-75 Exit 15 area),OH,I-75,,,no-coordinates,no-coordinates,,
321b8c5c-5c9f-48e1-aa9c-fd0332dee69e,Pilot Travel Center #24 - Monroe,Monroe,MI,I-75,,,no-coordinates,no-coordinates,,
d806f887-5291-49e4-8e36-4e7ae97c3996,Pilot Travel Center #271 (Burr Street),Gary,IN,I-65,,,no-coordinates,no-coordinates,,
5527d376-b806-4a10-bc75-0478c35672d0,Pilot Travel Center #284 - Monroe,Monroe,MI,I-75,,,no-coordinates,no-coordinates,,
f65fd2ef-14d5-456f-a937-bbf3750c87b9,Pilot Travel Center #290,Perryville,MD,I-95,,,no-coordinates,no-coordinates,,
7d145a52-2a8c-420b-87c8-5c8668bca4d9,"Pilot Travel Center #293 (Ocala, SR 484)",Ocala,FL,I-75,,,no-coordinates,no-coordinates,,
5c42f488-24de-40af-a67d-88e61d627d64,Pilot Travel Center #321,Walton,KY,I-75,,,no-coordinates,no-coordinates,,
930d8058-2612-4312-99fe-c80cc9d03e11,Pilot Travel Center #332,North Little Rock,AR,I-40,,,no-coordinates,no-coordinates,,
4f23643b-4ec9-471a-beac-7a7538e73adf,Pilot Travel Center #337,Florence,SC,I-95,,,no-coordinates,no-coordinates,,
4b07b610-8186-4ad2-b037-cb9c402928a9,Pilot Travel Center #34,Remington,IN,I-65,,,no-coordinates,no-coordinates,,
951b39b1-6f25-40de-b2d3-d7cbca0d66a0,Pilot Travel Center #352,Fort Myers,FL,I-75,,,no-coordinates,no-coordinates,,
a8a32662-d389-4d96-9653-6fde235726d0,Pilot Travel Center #353,Georgetown,KY,I-75,,,no-coordinates,no-coordinates,,
bf859b17-33b7-4fb7-995a-1d7cb462c529,Pilot Travel Center #360,Findlay,OH,I-75,,,no-coordinates,no-coordinates,,
6e1f345b-b3fd-42bb-848c-acfb5573ebc8,Pilot Travel Center #366,Jackson,TN,I-40,,,no-coordinates,no-coordinates,,
7edab277-0c0b-4498-a04d-3389926b0fe4,Pilot Travel Center #37,Whiteland,IN,I-65,,,no-coordinates,no-coordinates,,
ac64dd0e-2288-4bb0-85b8-2f1913dfd9f6,Pilot Travel Center #384,Colonial Heights,VA,I-95,,,no-coordinates,no-coordinates,,
6c2078f9-7d25-48bf-8e8f-10d24ac2b372,Pilot Travel Center #393,Waynesville,NC,I-40,,,no-coordinates,no-coordinates,,
07d998a5-79fa-4b95-b63f-7bbeb29ca62e,Pilot Travel Center #406,Cornersville,TN,I-65,,,no-coordinates,no-coordinates,,
c4fa7a01-7327-4a45-9a23-1d24e9bd4a3e,Pilot Travel Center #409,Dickson,TN,I-40,,,no-coordinates,no-coordinates,,
