listing_id,address,city,state,zip,interstate
431362ab-4fef-4f4f-bfb1-5a6b46b0ceec,325 U.S. Hwy 70 SW,Hickory,NC,28602,I-40
431cc9de-65e3-48ad-aed1-2bc3794f95ad,5430 Stickney Ave,Toledo,OH,43612,I-75
438c99e6-0991-48a1-8d0e-8bfe43b34700,413 East Main Street,Beaverdam,OH,45808,I-75
438d7ce9-59d8-4fec-b8d5-24f36c3a5481,65 Sadler Rd,Dunn,NC,28334,I-95
43a04cd8-4924-4c2d-8404-1bb132180ce8,6800 W 9th Ave,Gary,IN,46406,I-65
44197521-7aef-46d8-9c85-1fb95868e73d,1760 Genesis Rd,Crossville,TN,38555,I-40
4487c8c2-b9dc-4b24-bf94-e18b76de138e,16101 US Highway 84,Evergreen,AL,36401,I-65
44ef662c-3372-40a8-9c5b-eb2f0c76fc2c,7535 Montevideo Road,Jessup,MD,20794,I-95
4550e5f0-f0c6-4977-97f4-84e88e7b607f,13050 Walton Verona Rd,Walton,KY,41094,I-75
455f776b-7681-45be-8604-fdb9593beb44,113 Motel Dr,Saint George,SC,29477,I-95
4584fe8c-08bb-481e-8749-b0fbbc5a6224,821 Tyson Rd,Hope Hull,AL,36043,I-65
45dba33a-1322-426d-a01e-6809df669d92,8631 Highway 25 E,Cross Plains,TN,37049,I-65
4678d9cd-6eea-460c-8d08-def9f6abec0b,"Elkton Station, 107 Railroad Avenue (classroom); North East Campus range",Elkton,MD,21921,I-95
469dadae-9ba0-4f80-aacf-eb83ca8efc25,1463 N Wesleyan Blvd,Rocky Mount,NC,27804,I-95
474c16be-f5a2-4ead-889b-94637b2a5110,3124 Highway 391 N,North Little Rock,AR,72117,I-40
4788aa99-bbfe-4f81-b826-788e02ee475c,4080 W Hwy 326,Ocala,FL,34482,I-75
4795b25a-2bb2-4c4e-ac29-d864159cb3f3,2200 Broening Highway,Baltimore,MD,21224,I-95
485085d9-98c6-4e88-9661-862c3bc0c514,8795 Main St,Birch Run,MI,48415,I-75
4851db39-17a3-4025-877d-966353811088,2315 E Service Rd,West Memphis,AR,72301,I-40
48597a5d-b599-4e11-9826-eae4352b3e51,2522 Christmasville Rd,Jackson,TN,,I-40
48651de0-1c89-4102-a039-e0703af156ec,10324 Cogdill Rd,Knoxville,TN,37932,
488ef5d6-960c-4504-a163-4c4c8c6d11fc,452 AR-38 E,Widener,AR,72394,I-40
48942c6d-d58b-46ad-8a29-906278fceb35,6109 US-43 S,Satsuma,AL,36572,I-65
48d81093-d807-4023-b971-9277d9f47cd8,500 East State Street,Botkins,OH,45306,I-75
