source_ref,official_name,brand_family,name,address,city,state,zip,lat,lng,interstate,exit_number,interstate_raw,parking_spaces,fuel_lanes,showers,overnight_parking,parking_restrictions,cat_scale,amenities,has_parking
167,Pilot Travel Center,Pilot,Pilot Travel Center #167,2424 E Austin Blvd,Nevada,MO,64772,37.83528342614755,-94.32478784136941,I-49,101,"I-49, Exit 101",37,5,3,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,true
268,Pilot Travel Center,Pilot,Pilot Travel Center #268,2975 N Plainview Rd,Walcott,IA,52773,41.614354353305885,-90.78216472023773,I-80,284,"I-80, Exit 284",25,6,3,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,true
274,Pilot Travel Center,Pilot,Pilot Travel Center #274,2112 Rees St,Breaux Bridge,LA,70517,30.293935019709682,-91.9144897043686,I-10,109,"I-10, Exit 109",105,7,7,,,false,Electric Vehicle Charging Station | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,true
489,Flying J Travel Center,Flying J,Flying J Travel Center #489,4401 32nd Ave S,Grand Forks,ND,58201,47.88845382016879,-97.09251515767211,I-29,138,"I-29, Exit 138",65,10,10,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,true
576,Flying J Travel Center,Flying J,Flying J Travel Center #576,8051 Bagley Ave,Northfield,MN,55057,44.47066678033858,-93.29479698147583,I-35,69,"I-35, Exit 69",80,7,5,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,true
650,Flying J Travel Center,Flying J,Flying J Travel Center #650,1401 Ripley St,Lake Station,IN,46405,41.58643338442599,-87.23953477937202,I-94,15B,"I-94/90, Exit 15B",375,12,17,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Truck Wash | Bridgestone Tire Monitoring | Mobile Ordering,true
666,Pilot Travel Center,Pilot,Pilot Travel Center #666,1860 E Napier Ave,Benton Harbor,MI,49022,42.090035567751514,-86.4123753558197,I-94,30,"I-94, Exit 30",135,10,6,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Truck Wash | Mobile Ordering,true
688,Flying J Travel Center,Flying J,Flying J Travel Center #688,326 Slapes Corner Rd,Carneys Point,NJ,08069,39.68406448291671,-75.48522055644875,I-295,2C,"I-295, Exit 2C",213,12,16,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | IdleAir | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,true
718,Mr. Fuel Travel Center,Mr. Fuel Travel Center,Mr. Fuel Travel Center #718,8915 Weier Rd,Pevely,MO,63070,38.285981,-90.405087,I-55,180,"I-55, Exit 180",15,5,2,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | Check Cashing | DEF Lanes | Lottery | Pegasus | Mobile Ordering,true
728,Flying J Travel Center,Flying J,Flying J Travel Center #728,1301 Horizon Blvd,El Paso,TX,79928,31.66205260095058,-106.23808794708252,I-10,37,"I-10, Exit 37",120,12,11,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | IdleAir | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,true
