db_id,source_ref,official_name,db_name,state,city,lat,lng,interstate,exit_number,parking_spaces,existing_parking_spaces,fills,never_written,evidence,currently_published,currently_has_coord,receives_map_pin
c372a30e-8b6d-44db-b71f-1a3621ef7a7e,626,Flying J Travel Center,Flying J Travel Center #626,FL,Saint Augustine,29.74996120681377,-81.34444617182768,,305,99,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,false,false,true
effb0793-cbed-44f7-b05c-3645ccfdda21,668,Flying J Travel Center,Flying J Travel Center #668 (Saginaw),MI,Saginaw,43.45188561064311,-83.89413353950054,,151,,80,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
d56cff01-0dcb-4610-82aa-920d1214a828,784,Flying J Travel Center,Flying J Travel Center #784,MD,North East,39.6254814074548,-75.95014760199173,,100,185,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,false,false,true
438d7ce9-59d8-4fec-b8d5-24f36c3a5481,900,Pilot Dealer,Pilot Travel Center (Sadler Travel Plaza),NC,Dunn,35.31835659787999,-78.57574679036492,,75,265,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,address+brand+state+address+brand,false,false,true
394f5b7a-2970-453b-91d4-fc87c30a51a0,607,Flying J Travel Center,Flying J Travel Center #607,AR,West Memphis,35.15415439265023,-90.14396355128943,,"280/I-55, Exit 4",,225,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
f97ef111-f094-422a-bc61-7362a0a27d26,683,Flying J Travel Center,Flying J Travel Center #683,NC,Kenly,35.57450741129341,-78.14640144688613,,106,145,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,false,false,true
0fda85a9-364c-4541-99d7-fac38c8f755e,4562,Pilot Travel Center,Pilot Travel Center #4562,GA,Kingsland,30.75989471461253,-81.65574789931874,,1,111,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,false,false,true
9ac45310-ac8c-4885-a5aa-ebf787c2f13a,4569,Pilot Travel Center,Pilot Travel Center #4569,SC,Hardeeville,32.26878204646999,-81.08101432460634,,5,90,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,false,false,true
69f1f244-c4c0-480b-9e95-f1b02554cb6b,1330,ONE9 Travel Center,ONE9 Travel Center (Pilot Company),AR,Brinkley,34.912544273597874,-91.19621866623427,,216,42,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,address+brand+state+address+brand,true,false,true
cc5fe530-72f9-4f40-82de-bb55487a82cc,1366,ONE9 Travel Center,ONE9 Travel Center #1366,TN,Holladay,35.843010167500815,-88.08471945506712,,126,118,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
