id	store_number	state	city	category_slug	is_published	has_coord	address	zip	lat	lng	interstate	source	name
606a8c6f-80a0-4fd2-865e-19f30f18fd29	321	KY	Walton	cat-scales	true	false	11229 Frontage Rd	41094			I-75	csv-import	CAT Scale — Pilot Travel Center #321, Walton (Richwood)
5e845e58-af0f-4226-96f6-e7d384fe3611	353	KY	Georgetown	cat-scales	true	false	110 Triport Rd	40324			I-75	csv-import	CAT Scale — Pilot Travel Center #353, Georgetown (Triport Rd)
a641f4bb-fad2-49c5-9b64-a856c9b2d976	360	OH	Findlay	cat-scales	true	false	11471 State Route 613 W (OH-613)	45840			I-75	csv-import	CAT Scale — Pilot Travel Center #360, Findlay
bc4ff9f8-a138-4a2c-9fc2-e6b9017faea7	403	TN	Heiskell	cat-scales	true	true	1915 E Raccoon Valley Rd	37754	36.11107	-84.020183	I-75	csv-import	CAT Scale — Pilot Travel Center #403 (ONE9 Travel Center), Heiskell
2014a51a-b405-4d49-a3b4-a22a9844ac5f	416	GA	Cordele	cat-scales	true	true	2201 E 16th Ave		31.959812	-83.746752	I-75	csv-import	CAT Scale — Pilot Travel Center #416, Cordele
6ea6cd6b-978f-494d-a434-913c90a82978	437	KY	Williamsburg	cat-scales	true	false	481 W Hwy 92 (KY-92)	40769			I-75	csv-import	CAT Scale — Pilot Travel Center #437, Williamsburg
4e8c0e97-4aab-4853-8e43-904eacb3b0a9	4558	GA	Calhoun	cat-scales	true	true	2111 US Highway 41 NE	30701	34.55883	-84.935611	I-75	csv-import	CAT Scale — Pilot Travel Center #4558, Calhoun
a732e380-3d35-43b5-916a-47198de64c3e	4561	GA	Valdosta	cat-scales	true	true	3460 Madison Hwy	31601	30.754267	-83.273221	I-75	csv-import	CAT Scale — Pilot Travel Center #4561, Valdosta
e2aee5e7-1139-4566-a012-aa2ab3dc8453	457	OH	Beaverdam	cat-scales	true	false	427 East Main St	45808			I-75	csv-import	CAT Scale — Pilot Travel Center #457, Beaverdam
dbf0f5f0-3fa6-4f92-98f5-40f76579d5c8	4598	TN	Niota	cat-scales	true	true	507 Hwy 309	37826	35.545167	-84.565514	I-75	csv-import	CAT Scale — Pilot Travel Center #4598, Niota
ee270529-dc8c-4671-85ee-83a351b95338	47	KY	Georgetown	cat-scales	true	false	259 Cherry Blossom Way	40324			I-75	csv-import	CAT Scale — Pilot Travel Center #47, Georgetown (Cherry Blossom Way)
cce804c6-fbf4-4d3b-8e4f-000952e40fc6	481	TN	McDonald	cat-scales	true	true	281 Pleasant Grove Road SW	37353	35.153142	-84.952948	I-75	csv-import	CAT Scale — Pilot Travel Center #481, McDonald (Cleveland)
8947e3ea-dd2f-43ea-bdde-41c3864cbfb6	500	FL	Jasper	cat-scales	true	false	8067 FL-6	32052			I-75	csv-import	CAT Scale — Pilot Travel Center #500, Jasper
338601ce-8529-4ee1-a478-3284d6901206	67	GA	Cartersville	cat-scales	true	true	968 Cassville-White Rd	30120	34.272701	-84.807736	I-75	csv-import	CAT Scale — Pilot Travel Center #67, Cartersville
7e7568b1-db1e-4d3a-8403-85df63b12990	75	AL	Satsuma	cat-scales	true	false	6109 US-43 S	36572			I-65	csv-import	CAT Scale — Pilot Travel Center #75, Satsuma
49a23bf0-18cb-4ee8-b3cc-eaf19114f3d3	9	OH	Franklin	cat-scales	true	false	6830 Franklin-Lebanon Road	45005			I-75	csv-import	CAT Scale — Pilot Travel Center #9, Franklin
1fbc776a-057a-4370-96e9-bc049b0385a8	92	FL	Ocala	cat-scales	true	false	4255 NW Highway 326	34482			I-75	csv-import	CAT Scale — Pilot Travel Center #92, Ocala
5c78823e-ad8c-4072-a019-f167a2846019	656	IN	Whiteland	cat-scales	true	false	82 White St	46184			I-65	csv-import	CAT Scale (at Flying J Travel Center #656)
7612bd4d-3c89-4824-8916-ea651a1caf95	37	IN	Whiteland	cat-scales	true	false	2962 E 500 N	46184			I-65	csv-import	CAT Scale (at Pilot Travel Center #37)
a1b16ec7-c91b-4173-8790-c48f19ff7cf7	627	GA	Brunswick	cat-scales	false	false	2990 US Hwy 17 S	31523			I-95	csv-import	CAT Scale at Flying J Brunswick (#627)
b2d64c85-4150-4bf2-a7ed-a8f2d9ea31f4		VA	Ruther Glen	cat-scales	false	false	23866 Rogers Clark Blvd	22546			I-95	csv-import	CAT Scale at Flying J Carmel Church
7fa26b2f-a97d-4c5e-aa6f-cb992518cafe		MD	Elkton	cat-scales	false	false	221 Belle Hill Road	21921			I-95	csv-import	CAT Scale at Flying J Elkton
f2566159-665a-4205-929d-7352a3c1f402		FL	Fort Pierce	cat-scales	false	false	100 N Kings Hwy	34945			I-95	csv-import	CAT Scale at Flying J Fort Pierce
eb5cb560-c5f7-466b-89b0-4fb84dbf8ff5		NC	Kenly	cat-scales	false	false	1800 Princeton-Kenly Rd	27542			I-95	csv-import	CAT Scale at Flying J Kenly
5330fe76-dd64-4b5b-b8d6-aca559036526		SC	Latta	cat-scales	false	false	111 Mill Branch Rd	29565			I-95	csv-import	CAT Scale at Flying J Latta
05e3d706-abe8-45ac-9a05-7da2c4ddf937	652	IN	Lebanon	cat-scales	true	false	520 S State Rd 39	46052			I-65	csv-import	CAT Scale at Flying J Lebanon #652
61a7d832-a098-4196-bbe2-5b58562e7b9b		MD	North East	cat-scales	false	false	1 Center Drive	21901			I-95	csv-import	CAT Scale at Flying J North East
6f7fee11-ff4c-445d-b830-d899d682312c		FL	Saint Augustine	cat-scales	false	false	950 FL-206 W	32086			I-95	csv-import	CAT Scale at Flying J Saint Augustine
f91d1114-a109-48b5-9b5e-1aa96591f8ae		SC	Saint George	cat-scales	false	false	113 Motel Dr	29477			I-95	csv-import	CAT Scale at Flying J St. George
1d1a2d76-46d8-46cc-9759-a9da44e2e53b		IN	Hebron	cat-scales	true	false	3231 E 181st Ave	46341			I-65	csv-import	CAT Scale at Flying J Travel Center (Hebron)
b139516b-3826-4241-90b1-050b8b83b179	605	AR	Russellville	cat-scales	true	false	42 Bradley Cove Rd	72801			I-40	csv-import	CAT Scale at Flying J Travel Center #605
32e1f8ab-7b2c-425d-b046-bf14bd3e1a0a	607	AR	West Memphis	cat-scales	true	false	3400 Service Loop Rd	72301			I-40	csv-import	CAT Scale at Flying J Travel Center #607
a6b4c790-4ba6-48e8-bdad-2af3822a8f99	876	TN	Cookeville	cat-scales	true	false	1111 S Jefferson Ave	38506			I-40	csv-import	CAT Scale at ONE9 Travel Center (CAT #876)
11ed7674-3739-4cfa-9433-51c982f1d544	226	TN	Dandridge	cat-scales	true	false	505 Patriot Dr	37725			I-40	csv-import	CAT Scale at ONE9 Travel Center #226
38ffb2aa-c692-4376-9d7c-4b39e745845d		AR	Brinkley	cat-scales	true	false	2101 US Highway 49	72021			I-40	csv-import	CAT Scale at ONE9 Travel Center Brinkley
6d944928-3079-4aef-b907-dfab87dadbb1		GA	Wildwood	cat-scales	true	false	650 GA-299	30757			I-24	csv-import	CAT Scale at ONE9 Travel Center Wildwood
