source_ref,official_name,brand_family,name,address,city,state,zip,lat,lng,interstate,exit_number,interstate_raw,parking_spaces,fuel_lanes,showers,overnight_parking,parking_restrictions,cat_scale,amenities,has_parking,disposition,db_ids,match_evidence,note
147,Pilot Travel Center,Pilot,Pilot Travel Center #147,1200 Wendover Blvd,West Wendover,NV,89883,40.73943964521697,-114.06642221966075,I-80,410,"I-80, Exit 410",125,7,10,,,false,Electric Vehicle Charging Station,true,net-new-official-location,,,
145,Pilot Travel Center,Pilot,Pilot Travel Center #145,5660 W Sunset Ave,Springdale,AR,72762,36.176497,-94.19317,I-49,72,"I-49, Exit 72",30,5,4,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
34,Pilot Travel Center,Pilot,Pilot Travel Center #34,4154 US-24,Remington,IN,47977,40.7663019,-87.1234491,I-65,201,"I-65, Exit 201",75,8,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Truck Parking Spaces | Electric Vehicle Charging Station | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,true,exact-authoritative-match,4b07b610-8186-4ad2-b037-cb9c402928a9 7f946536-b497-41a6-8f8a-e85b2b6b110d,store_number,"1 colocated service row(s), no map pin"
13,Pilot Travel Center,Pilot,Pilot Travel Center #13,8924 Lake Rd,Seville,OH,44273,41.02966364720154,-81.90729066118905,I-71,209B,"I-71, Exit 209B",190,11,10,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | IdleAir | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,true,net-new-official-location,,,
195,Pilot Travel Center,Pilot,Pilot Travel Center #195,91485 Biggs Rufus Hwy,Wasco,OR,97065,45.66943893332095,-120.83494981828119,I-84,104,"I-84, Exit 104",37,6,5,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Live Parking | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,true,net-new-official-location,,,
209,Pilot Travel Center,Pilot,Pilot Travel Center #209,501 Van Horn Dr,Van Horn,TX,79855,31.03594379073825,-104.82998702100255,I-10,140A,"I-10, Exit 140A",75,8,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,true,net-new-official-location,,,
265,ONE9 Travel Center,ONE9,ONE9 Travel Center #265,1111 S Jefferson Ave,Cookeville,TN,38506,36.133737186379726,-85.50421763558195,I-40,287,"I-40, Exit 287",0,3,0,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Mobile Ordering,false,exact-authoritative-match,e780ec0a-3a95-42b8-b7bd-eca1cadf2a72 a6b4c790-4ba6-48e8-bdad-2af3822a8f99,store_number,"1 colocated service row(s), no map pin"
306,Pilot Travel Center,Pilot,Pilot Travel Center #306,5619 I-10 E,San Antonio,TX,78219,29.43984530499176,-98.38058858237048,I-10,582,"I-10, Exit 582",50,7,5,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
313,Pilot Travel Center,Pilot,Pilot Travel Center #313,699 IL-203,East Saint Louis,IL,62201,38.6521180055513,-90.13190753733092,I-55,4,"I-55/70/64, Exit 4",200,9,11,,,false,Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
358,Pilot Travel Center,Pilot,Pilot Travel Center #358,5353 Cairo Rd,Paducah,KY,42001,37.09749515428461,-88.69117281349182,I-24,3,"I-24/KY-305, Exit 3",52,8,5,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Electric Vehicle Charging Station | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,true,net-new-official-location,,,
