db_id,source_ref,official_name,db_name,state,city,address,evidence,db_published,db_has_coord
a178c35e-73ba-4c23-bbe4-605dc4a365c4,632,Flying J Travel Center,Flying J Travel Center #632,GA,Resaca,288 Resaca Beach Blvd NW,store_number+address+coordinate_67m+brand,true,true
4e95994e-db22-4b01-9b6e-0af55d277eec,722,Pilot Travel Center,Flying J Travel Center #722,TN,Knoxville,800 Watt Rd,store_number+address+coordinate_57m+brand,true,true
ca4da6a3-c18d-4f65-88ec-1076319eb6c5,88,ONE9 Travel Center,Pilot / ONE9 Travel Center #88,FL,Cocoa,4455 W King St,store_number+address+brand,false,false
894798c3-0460-4016-b5a1-ca4505143ee5,92,Pilot Travel Center,Pilot Travel Center #92 (Ocala),FL,Ocala,4255 W Hwy 326,store_number+address+brand,true,false
ef42e8a8-4ee1-4ece-a100-ba17bfe15200,267,Pilot Travel Center,Pilot Travel Center #267,GA,Byron,2965 Highway 247C,store_number+address+coordinate_0m+brand,true,true
362f1bd5-2789-488a-8652-ffa580d9737a,411,Pilot Travel Center,Pilot Travel Center #411,TN,Lebanon,921 Murfreesboro Rd,store_number+address+brand,true,false
9d5b4987-bd0e-4332-ae57-b774ca5ee801,622,Flying J Travel Center,Flying J Travel Center #622,FL,Fort Pierce,100 N Kings Hwy,store_number+address+brand,false,false
39a7ad06-c801-4b4f-8ea1-3d847839a62c,875,Flying J Travel Center,Flying J Travel Center #875,MD,Elkton,221 Belle Hill Rd,store_number+address+brand,false,false
7d145a52-2a8c-420b-87c8-5c8668bca4d9,293,Pilot Travel Center,"Pilot Travel Center #293 (Ocala, SR 484)",FL,Ocala,2020 SW Hwy 484,store_number+address+brand,true,false
599cf7a7-eb06-4527-bcdb-69daa62e11c7,421,Pilot Travel Center,Pilot Travel Center #421,GA,Dalton,142 Carbondale Rd SW,store_number+address+coordinate_69m+brand,true,true
3e2d7707-cfa9-4fff-a6e1-b564b40bfc32,895,Flying J Travel Center,Flying J Travel Center #895 - Woodhaven,MI,Woodhaven,21055 West Rd,store_number+address+brand,true,false
d4d6ed3b-3e72-4011-b0cc-29783bc21dd0,47,Pilot Travel Center,Pilot Travel Center #47,KY,Georgetown,259 Cherry Blossom Way,store_number+address+brand,true,false
d806f887-5291-49e4-8e36-4e7ae97c3996,271,Pilot Travel Center,Pilot Travel Center #271 (Burr Street),IN,Gary,2501 Burr St,store_number+address+brand,true,false
6d8f6cd0-78e1-489f-9f94-7878cba55e77,500,Pilot Travel Center,Pilot Travel Center #500 (Jasper),FL,Jasper,8067 FL-6,store_number+address+brand,true,false
f0129700-18d1-49cf-b92f-0be14a549686,627,Flying J Travel Center,Flying J Travel Center #627,GA,Brunswick,2990 US-17,store_number+address+brand,false,false
9689ab8c-c937-4676-8fa4-de202ec699d7,4558,Pilot Travel Center,Pilot Travel Center #4558,GA,Calhoun,2111 US-41,store_number+address+coordinate_30m+brand,true,true
07d998a5-79fa-4b95-b63f-7bbeb29ca62e,406,Pilot Travel Center,Pilot Travel Center #406,TN,Cornersville,9211 Lewisburg Hwy,store_number+address+brand,true,false
9eaf0102-674a-4c29-a360-b2de6807e4f1,424,Pilot Travel Center,"Pilot Travel Center #424 (Ocala, 4032 Hwy 326)",FL,Ocala,4032 W Hwy 326,store_number+address+brand,true,false
f7f69a6a-d032-46ee-9ce6-52796f556a07,448,Pilot Travel Center,Pilot Travel Center #448 (Hebron),IN,Hebron,18011 Colorado St,store_number+address+brand,true,false
da698161-6d20-4069-9e12-64db6fb9cf21,9,Pilot Travel Center,Pilot Travel Center #9,OH,Franklin,6830 Franklin Lebanon Rd,store_number+address+brand,true,false
6c2078f9-7d25-48bf-8e8f-10d24ac2b372,393,Pilot Travel Center,Pilot Travel Center #393,NC,Waynesville,3712 Crabtree Rd,store_number+address+brand,true,false
a70da55a-2a2e-420a-953c-4b6d46e1c435,652,Flying J Travel Center,Flying J Travel Center #652,IN,Lebanon,520 S State Rd 39,store_number+address+brand,true,false
0ecffefe-7964-4da6-9052-c230adc0a249,695,Flying J Travel Center,Flying J Travel Center #695,OH,Beaverdam,420 E Main St,store_number+address+brand,true,false
d7247403-1ed3-49de-83a5-af2862cdbd9f,1550,Pilot Travel Center,Pilot Travel Center #1550 (Good Hope),AL,Cullman,1600 County Road 437,store_number+address+brand,true,false
5aecf10b-8e95-48a4-a815-da033b1d7cf4,1577,Pilot Travel Center,Pilot Travel Center #1577,TN,Pioneer,106 Comfort Ln,store_number+address+coordinate_0m+brand,true,true
f68a555f-f314-4506-91bc-db780f009c31,97,Flying J Travel Center,Flying J Travel Center #97,OH,Vandalia,175 Northwoods Blvd,store_number+address+brand,true,false
7500cfb3-d609-4280-9869-356cb5588398,94,Pilot Travel Center,Pilot Travel Center #94,FL,Punta Gorda,26505 Jones Loop Rd,store_number+address+brand,true,false
50cf9353-443d-406e-b1d2-9889112e116c,575,Pilot Travel Center,Pilot Travel Center #575,GA,St. Mary's,491 St Mary's Rd,store_number+address+brand,false,false
99e14e2c-5498-4df1-b60b-7ff743aec8ae,605,Flying J Travel Center,Flying J Travel Center #605,AR,Russellville,42 Bradley Cove Rd,store_number+address+brand,true,false
b89a9bb7-6833-4f23-8466-1d6660615cd3,58,ONE9 Travel Center,Pilot Travel Center #58 (ONE9),NC,Pleasant Hill,2032 NC-48,store_number+address+brand,false,false
944a23e3-93b6-4f19-a43a-8879c89ae09a,192,Pilot Travel Center,Pilot Travel Center #192,GA,Tifton,4431 Union Rd,store_number+address+coordinate_93m+brand,true,true
5c42f488-24de-40af-a67d-88e61d627d64,321,Pilot Travel Center,Pilot Travel Center #321,KY,Walton,11229 Frontage Rd,store_number+address+brand,true,false
8a9e2301-b793-454f-85e6-c01e98b715c7,416,Pilot Travel Center,Pilot Travel Center #416,GA,Cordele,2201 16th Ave E,store_number+address+coordinate_52m+brand,true,true
c372a30e-8b6d-44db-b71f-1a3621ef7a7e,626,Flying J Travel Center,Flying J Travel Center #626,FL,Saint Augustine,950 FL-206 W,store_number+address+brand,false,false
effb0793-cbed-44f7-b05c-3645ccfdda21,668,Flying J Travel Center,Flying J Travel Center #668 (Saginaw),MI,Saginaw,3475 E Washington Rd,store_number+address+brand,true,false
d56cff01-0dcb-4610-82aa-920d1214a828,784,Flying J Travel Center,Flying J Travel Center #784,MD,North East,1 Center Dr,store_number+address+brand,false,false
394f5b7a-2970-453b-91d4-fc87c30a51a0,607,Flying J Travel Center,Flying J Travel Center #607,AR,West Memphis,3400 Service Loop Rd,store_number+address+brand,true,false
f97ef111-f094-422a-bc61-7362a0a27d26,683,Flying J Travel Center,Flying J Travel Center #683,NC,Kenly,1800 Princeton Kenly Rd,store_number+address+brand,false,false
0fda85a9-364c-4541-99d7-fac38c8f755e,4562,Pilot Travel Center,Pilot Travel Center #4562,GA,Kingsland,2607 Scrubby Bluff Rd,store_number+address+brand,false,false
9ac45310-ac8c-4885-a5aa-ebf787c2f13a,4569,Pilot Travel Center,Pilot Travel Center #4569,SC,Hardeeville,15976 Whyte Hardee Blvd,store_number+address+brand,false,false
5adb811d-9b49-4829-a08f-75481f80a864,4598,Pilot Travel Center,Pilot Travel Center #4598,TN,Niota,507 Hwy 309,store_number+address+coordinate_27m+brand,true,true
cc5fe530-72f9-4f40-82de-bb55487a82cc,1366,ONE9 Travel Center,ONE9 Travel Center #1366,TN,Holladay,15060 US-641 S,store_number+address+brand,true,false
